point_id,point_title,point_source,point_analysis,point_quote_text,point_quote_start,point_quote_end,point_document_id,service_name,cases.case_id,cases.case_classification,cases.case_title,cases.case_description,cases.case_topic,score_rubric,Referenced_Text,Ground_Truth_Score,Company,Classification_Code,Specific_Rubric,Predicted_Score
17470,The service provides information about how they intend to use your personal data,https://telegram.org/privacy,Generated through the annotate view,<li>what we may use your personal data for;,3690.0,3734.0,2058.0,Telegram,227,good,Information is provided about how your personal data is used,"The Privacy Policy explains the purposes for which data is collected and the way it is processed, used and shared.",Transparency,"-1: The terms and policies are inaccessible, unclear, or not drafted in plain and intelligible language, contrary to the transparency requirement of Article 5 Directive 93/13.
0: Information is provided, but it is incomplete, dense, or difficult to navigate, hindering the user's understanding.
1: The terms and data practices are presented in clear, plain, accessible and easily comprehensible language that supports an informed decision by the user.",what we may use your personal data for;,1.0,Telegram,Transparency,"-1: The terms and policies are inaccessible, unclear, or not drafted in plain and intelligible language, contrary to the transparency requirement of Article 5 Directive 93/13.
0: Information is provided, but it is incomplete, dense, or difficult to navigate, hindering the user's understanding.
1: The terms and data practices are presented in clear, plain, accessible and easily comprehensible language that supports an informed decision by the user.",0
17474,The service does not use third-party analytics or tracking platforms,https://telegram.org/privacy,Generated through the annotate view,We do not use cookies for profiling or advertising.,10113.0,10165.0,2058.0,Telegram,381,good,No third-party analytics or tracking platforms are used,There are no Google Analytics or other tracking codes embedded in the service.  Any tracking is performed by the service itself.,Third Parties,"-1: Personal data is shared with, or sold to, third parties without disclosure, a lawful basis, or any user control over the sharing.
0: Third-party sharing is disclosed and limited to stated purposes (for instance, processors acting on the company's behalf), but the user retains limited control over it.
1: Third-party sharing is minimal, transparent, purpose-bound and subject to the user's control or consent, with no sale of personal data.",We do not use cookies for profiling or advertising.,1.0,Telegram,Third Parties,"-1: Personal data is shared with, or sold to, third parties without disclosure, a lawful basis, or any user control over the sharing.
0: Third-party sharing is disclosed and limited to stated purposes (for instance, processors acting on the company's behalf), but the user retains limited control over it.
1: Third-party sharing is minimal, transparent, purpose-bound and subject to the user's control or consent, with no sale of personal data.",1
17480,You can delete your content from this service,https://telegram.org/privacy,Generated through the annotate view,"Deleting your account removes all messages, media, contacts and every other piece of data you store in the Telegram cloud.
This action must be confirmed via your Telegram account and cannot be undone.</p>",22518.0,22723.0,2058.0,Telegram,175,good,You can delete your content from this service,"You can ask the service to remove your content at any time, and it's deleted within a reasonable time.",Right to Leave The Service,"-1: The user cannot freely terminate, or cannot delete or retrieve their data and content upon leaving, resulting in lock-in contrary to Article 16(4) Directive 2019/770 and the portability right of Article 20 GDPR.
0: The user may leave and delete or retrieve some of their data and content, but retrieval or portability is only partial or burdensome.
1: The user may freely terminate the contract and retrieve and delete all of their data and content, with data portability supported.","Deleting your account removes all messages, media, contacts and every other piece of data you store in the Telegram cloud. This action must be confirmed via your Telegram account and cannot be undone.",1.0,Telegram,Right to Leave The Service,"-1: The user cannot freely terminate, or cannot delete or retrieve their data and content upon leaving, resulting in lock-in contrary to Article 16(4) Directive 2019/770 and the portability right of Article 20 GDPR.
0: The user may leave and delete or retrieve some of their data and content, but retrieval or portability is only partial or burdensome.
1: The user may freely terminate the contract and retrieve and delete all of their data and content, with data portability supported.",-1
8186,This service is only available to users of a certain age,https://telegram.org/tos,,Citizens of EU countries and the United Kingdom must be at least 16 years old to sign up.</p>,402.0,495.0,2059.0,Telegram,152,neutral,This service is only available to users over a certain age,The Services are intended for users who are at least a certain age. If you are younger than the age required then you are prohibited from using the Service.,Governance,"-1: The company retains wholly unilateral and discretionary governance over the service and its community, with no user participation, published decision-making criteria, or accountability mechanisms.
0: Some governance structures exist (e.g. published community guidelines or moderation rules), but users have no voice in decisions and enforcement remains at the company's discretion.
1: The service provides transparent governance with meaningful community participation, such as consultation on substantial decisions, published moderation criteria, and accessible appeal or redress procedures.",Citizens of EU countries and the United Kingdom must be at least 16 years old to sign up.,0.0,Telegram,Governance,"-1: The company retains wholly unilateral and discretionary governance over the service and its community, with no user participation, published decision-making criteria, or accountability mechanisms.
0: Some governance structures exist (e.g. published community guidelines or moderation rules), but users have no voice in decisions and enforcement remains at the company's discretion.
1: The service provides transparent governance with meaningful community participation, such as consultation on substantial decisions, published moderation criteria, and accessible appeal or redress procedures.",0
8188,This service does not sell your personal data,https://telegram.org/faq,,"We don’t use your data for ad targeting, we don’t sell it to others",10819.0,10886.0,2060.0,Telegram,193,good,Your personal data is not sold,"This service makes an explicit promise not to sell ""personal data"" of users.",Personal Data,"-1: Once collected, the user has no control over how their personal data is used or for how long it is retained, and the data may be processed for purposes incompatible with those for which it was collected.
0: Some data subject rights or controls are provided, but they are limited, burdensome to exercise, or retention and purposes are poorly defined.
1: The user retains meaningful control consistent with the GDPR rights of access, rectification, erasure, restriction, objection and portability, subject to purpose and storage limitation.","We don’t use your data for ad targeting, we don’t sell it to others",1.0,Telegram,Personal Data,"-1: Once collected, the user has no control over how their personal data is used or for how long it is retained, and the data may be processed for purposes incompatible with those for which it was collected.
0: Some data subject rights or controls are provided, but they are limited, burdensome to exercise, or retention and purposes are poorly defined.
1: The user retains meaningful control consistent with the GDPR rights of access, rectification, erasure, restriction, objection and portability, subject to purpose and storage limitation.",0
8854,User logs are deleted after a finite period of time,https://telegram.org/privacy,Generated through the annotate view,"If collected, this metadata can be kept for 12 months maximum.",12971.0,13033.0,2058.0,Telegram,177,good,Logs are deleted after a finite period of time,"Logs are text files containing some information about web visitors, such as user agents (showing for instance that you're connecting from Firefox for Android) and ip addresses (which reveal your approximate location). This case applies to Services that periodically delete their logs to prevent user sessions being tracked over time.",Logs,"-1: The retention period for logs and connection data is undisclosed or indefinite, contrary to the storage limitation principle of Article 5(1)(e) GDPR.
0: A retention period is disclosed but is lengthy, vague, or not clearly tied to a specified purpose.
1: Logs are retained only for a clearly stated, limited and purpose-bound period, or are not retained at all and are promptly deleted or anonymised.","If collected, this metadata can be kept for 12 months maximum.",1.0,Telegram,Logs,"-1: The retention period for logs and connection data is undisclosed or indefinite, contrary to the storage limitation principle of Article 5(1)(e) GDPR.
0: A retention period is disclosed but is lengthy, vague, or not clearly tied to a specified purpose.
1: Logs are retained only for a clearly stated, limited and purpose-bound period, or are not retained at all and are promptly deleted or anonymised.",0
8167," Terms may be changed any time at their discretion, without notice to the user ",https://telegram.org/tos,We reserve the right to update these Terms of Service later.,We reserve the right to update these Terms of Service later.,321.0,381.0,2059.0,Telegram,121,bad," Terms may be changed any time at their discretion, without notice to you ","The Agreements can be updated at any time, including in a way that negatively affects user rights, without notifying before or after the changes.",Notice of Changing Terms,"-1: Terms may change without any prior notice to the user, with changes taking effect immediately or continued use being deemed acceptance.
0: Users are notified of changes, but without sufficient lead time or a meaningful opportunity to review the changes and decide before they take effect.
1: Users receive clear, advance notice of changes with a reasonable period to review them and the ability to terminate the contract before the new terms apply.",We reserve the right to update these Terms of Service later.,-1.0,Telegram,Notice of Changing Terms,"-1: Terms may change without any prior notice to the user, with changes taking effect immediately or continued use being deemed acceptance.
0: Users are notified of changes, but without sufficient lead time or a meaningful opportunity to review the changes and decide before they take effect.
1: Users receive clear, advance notice of changes with a reasonable period to review them and the ability to terminate the contract before the new terms apply.",-1
8856,The service allows you to use pseudonyms,https://telegram.org/privacy,Generated through the annotate view,"We don't want to know your real name, gender, age or what you like.
</p>
<p>We do <strong>not</strong> require your screen name to be your real name.",5470.0,5619.0,2058.0,Telegram,215,good, Pseudonyms are allowed,You don't need to provide your full name to use the Service and you are allowed to use a pseudonym instead.,Anonymity,"-1: The service requires verified real-identity registration, prohibits pseudonymous use, and collects extensive identifying information.
0: Pseudonymous use is permitted, but some real-identity verification is required, or the data collected exceeds what is necessary to provide the service.
1: The service can be used anonymously or under a pseudonym with only minimal identifying data, reflecting the data minimisation principle of Article 5(1)(c) GDPR.","We don't want to know your real name, gender, age or what you like. We do not require your screen name to be your real name.",1.0,Telegram,Anonymity,"-1: The service requires verified real-identity registration, prohibits pseudonymous use, and collects extensive identifying information.
0: Pseudonymous use is permitted, but some real-identity verification is required, or the data collected exceeds what is necessary to provide the service.
1: The service can be used anonymously or under a pseudonym with only minimal identifying data, reflecting the data minimisation principle of Article 5(1)(c) GDPR.",1
8857,The service refers users to external documents for more information,https://telegram.org/privacy,Generated through the annotate view,Please study their relevant privacy policies before making your data available to them.,17579.0,17666.0,2058.0,Telegram,299,neutral,The service informs you that its privacy policy does not apply to third party websites,"The service states that whenever it links to third party websites or applications, its privacy policy does not apply. Those third party websites or applications hosted or operated by other organizations may have their own privacy policies.",Transparency,"-1: The terms and policies are inaccessible, unclear, or not drafted in plain and intelligible language, contrary to the transparency requirement of Article 5 Directive 93/13.
0: Information is provided, but it is incomplete, dense, or difficult to navigate, hindering the user's understanding.
1: The terms and data practices are presented in clear, plain, accessible and easily comprehensible language that supports an informed decision by the user.",Please study their relevant privacy policies before making your data available to them.,0.0,Telegram,Transparency,"-1: The terms and policies are inaccessible, unclear, or not drafted in plain and intelligible language, contrary to the transparency requirement of Article 5 Directive 93/13.
0: Information is provided, but it is incomplete, dense, or difficult to navigate, hindering the user's understanding.
1: The terms and data practices are presented in clear, plain, accessible and easily comprehensible language that supports an informed decision by the user.",1
17471,The service provides two factor authentication for your account,https://telegram.org/privacy,Generated through the annotate view,"When you enable 2-step-verification for your account or store documents using the Telegram Passport feature, you can opt to set up a password recovery email.",5984.0,6141.0,2058.0,Telegram,312,good,Two factor authentication is provided for your account,"The service provides means of further securing your account with two factor authentification, thus greatly improving account security.",Security,"-1: The ToS describes no security measures and/or disclaims all responsibility for protecting the user's account and data against unauthorised access.
0: Basic security measures are mentioned, but commitments are vague or shift the substantial burden of securing the account onto the user.
1: The service commits to appropriate technical and organisational security measures and to breach handling and notification, consistent with Articles 32 and 33-34 GDPR.","When you enable 2-step-verification for your account or store documents using the Telegram Passport feature, you can opt to set up a password recovery email.",1.0,Telegram,Security,"-1: The ToS describes no security measures and/or disclaims all responsibility for protecting the user's account and data against unauthorised access.
0: Basic security measures are mentioned, but commitments are vague or shift the substantial burden of securing the account onto the user.
1: The service commits to appropriate technical and organisational security measures and to breach handling and notification, consistent with Articles 32 and 33-34 GDPR.",0
